fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006666666666666667,4.5584
0.0,0.18666666666666668,1.9061
0.006666666666666667,0.18666666666666668,1.9019
0.006666666666666667,0.28,1.5234
0.02,0.28,1.4858
0.02,0.2866666666666667,1.4802
0.02666666666666667,0.2866666666666667,1.4778
0.02666666666666667,0.3333333333333333,1.3712
0.03333333333333333,0.3333333333333333,1.3561
0.03333333333333333,0.3933333333333333,1.2714
0.04,0.3933333333333333,1.2663
0.04,0.4,1.2304
0.04666666666666667,0.4,1.2259
0.04666666666666667,0.43333333333333335,1.0406
0.05333333333333334,0.43333333333333335,1.0331
0.05333333333333334,0.4866666666666667,0.9373
0.06,0.4866666666666667,0.9328
0.06,0.49333333333333335,0.9126
0.06666666666666667,0.49333333333333335,0.8977
0.06666666666666667,0.5,0.8881
0.08,0.5,0.8679
0.08,0.5466666666666666,0.7577
0.08666666666666667,0.5466666666666666,0.757
0.08666666666666667,0.5533333333333333,0.7407
0.09333333333333334,0.5533333333333333,0.7368
0.09333333333333334,0.5666666666666667,0.7258
0.1,0.5666666666666667,0.7054
0.1,0.6266666666666667,0.6139
0.10666666666666667,0.6266666666666667,0.6076
0.10666666666666667,0.6333333333333333,0.6072
0.11333333333333333,0.6333333333333333,0.5744
0.11333333333333333,0.6466666666666666,0.5628
0.12,0.6466666666666666,0.5567
0.12,0.7133333333333334,0.391
0.14,0.7133333333333334,0.3136
0.14,0.7333333333333333,0.2985
0.14666666666666667,0.7333333333333333,0.2967
0.14666666666666667,0.7533333333333333,0.2435
0.15333333333333332,0.7533333333333333,0.2259
0.15333333333333332,0.76,0.2154
0.16,0.76,0.1914
0.16,0.7733333333333333,0.1723
0.16666666666666666,0.7733333333333333,0.1597
0.16666666666666666,0.78,0.1498
0.17333333333333334,0.78,0.1406
0.17333333333333334,0.7866666666666666,0.1401
0.18,0.7866666666666666,0.1015
0.18,0.8066666666666666,0.0735
0.2,0.8066666666666666,0.0289
0.2,0.82,0.0145
0.22,0.82,-0.0092
0.22,0.8266666666666667,-0.0252
0.23333333333333334,0.8266666666666667,-0.0646
0.23333333333333334,0.84,-0.0868
0.24,0.84,-0.0948
0.24,0.8466666666666667,-0.1212
0.24666666666666667,0.8466666666666667,-0.1449
0.24666666666666667,0.8533333333333334,-0.1849
0.25333333333333335,0.8533333333333334,-0.1917
0.25333333333333335,0.8733333333333333,-0.269
0.2733333333333333,0.8733333333333333,-0.3121
0.2733333333333333,0.8933333333333333,-0.3838
0.29333333333333333,0.8933333333333333,-0.3997
0.29333333333333333,0.9,-0.4258
0.31333333333333335,0.9,-0.4591
0.31333333333333335,0.9066666666666666,-0.4903
0.32666666666666666,0.9066666666666666,-0.5002
0.32666666666666666,0.9133333333333333,-0.5131
0.37333333333333335,0.9133333333333333,-0.5785
0.37333333333333335,0.92,-0.5971
0.38666666666666666,0.92,-0.613
0.38666666666666666,0.9266666666666666,-0.6393
0.3933333333333333,0.9266666666666666,-0.6728
0.3933333333333333,0.9333333333333333,-0.6887
0.41333333333333333,0.9333333333333333,-0.8186
0.41333333333333333,0.94,-0.8346
0.44,0.94,-0.8595
0.44,0.9466666666666667,-0.8767
0.4666666666666667,0.9466666666666667,-0.9229
0.4666666666666667,0.9533333333333334,-0.9245
0.4866666666666667,0.9533333333333334,-0.9647
0.4866666666666667,0.9733333333333334,-0.9889
0.6,0.9733333333333334,-1.49
0.6,0.98,-1.4963
0.6666666666666666,0.98,-1.9751
0.6666666666666666,0.9866666666666667,-1.9789
0.74,0.9866666666666667,-2.1601
0.74,0.9933333333333333,-2.1621
0.7933333333333333,0.9933333333333333,-2.3458
0.7933333333333333,1.0,-2.3779
1.0,1.0,-4.1658
