fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006666666666666667,3.87
0.0,0.02666666666666667,3.3378
0.006666666666666667,0.02666666666666667,3.1287
0.006666666666666667,0.06,2.6635
0.02,0.06,2.5503
0.02,0.07333333333333333,2.4627
0.02666666666666667,0.07333333333333333,2.4599
0.02666666666666667,0.14666666666666667,1.9986
0.03333333333333333,0.14666666666666667,1.9755
0.03333333333333333,0.18,1.7722
0.04,0.18,1.753
0.04,0.29333333333333333,1.4311
0.04666666666666667,0.29333333333333333,1.4166
0.04666666666666667,0.3,1.3796
0.06,0.3,1.3698
0.06,0.36,1.2681
0.06666666666666667,0.36,1.2634
0.06666666666666667,0.38,1.2424
0.08666666666666667,0.38,1.1656
0.08666666666666667,0.38666666666666666,1.129
0.09333333333333334,0.38666666666666666,1.0933
0.09333333333333334,0.4066666666666667,1.0593
0.1,0.4066666666666667,1.052
0.1,0.46,0.9092
0.10666666666666667,0.46,0.9058
0.10666666666666667,0.48,0.8757
0.11333333333333333,0.48,0.8643
0.11333333333333333,0.5266666666666666,0.7823
0.12,0.5266666666666666,0.7732
0.12,0.5333333333333333,0.7418
0.12666666666666668,0.5333333333333333,0.7345
0.12666666666666668,0.5466666666666666,0.6863
0.15333333333333332,0.5466666666666666,0.6342
0.15333333333333332,0.5533333333333333,0.6181
0.16666666666666666,0.5533333333333333,0.5953
0.16666666666666666,0.56,0.5912
0.17333333333333334,0.56,0.5881
0.17333333333333334,0.5666666666666667,0.5879
0.18,0.5666666666666667,0.5842
0.18,0.5733333333333334,0.5795
0.19333333333333333,0.5733333333333334,0.563
0.19333333333333333,0.58,0.5592
0.22,0.58,0.524
0.22,0.5866666666666667,0.5172
0.22666666666666666,0.5866666666666667,0.4767
0.22666666666666666,0.5933333333333334,0.4608
0.23333333333333334,0.5933333333333334,0.4473
0.23333333333333334,0.6133333333333333,0.4175
0.24,0.6133333333333333,0.4167
0.24,0.6333333333333333,0.2997
0.24666666666666667,0.6333333333333333,0.2812
0.24666666666666667,0.64,0.2303
0.26,0.64,0.2282
0.26,0.6466666666666666,0.2202
0.31333333333333335,0.6466666666666666,0.11
0.31333333333333335,0.66,0.0857
0.32,0.66,0.0651
0.32,0.6866666666666666,0.0352
0.32666666666666666,0.6866666666666666,0.0249
0.32666666666666666,0.6933333333333334,0.0166
0.34,0.6933333333333334,-0.0062
0.34,0.7066666666666667,-0.0288
0.3466666666666667,0.7066666666666667,-0.03
0.3466666666666667,0.7133333333333334,-0.0381
0.36,0.7133333333333334,-0.0529
0.36,0.72,-0.0575
0.36666666666666664,0.72,-0.0594
0.36666666666666664,0.7333333333333333,-0.1066
0.37333333333333335,0.7333333333333333,-0.1087
0.37333333333333335,0.7466666666666667,-0.1166
0.38,0.7466666666666667,-0.1192
0.38,0.7533333333333333,-0.1239
0.38666666666666666,0.7533333333333333,-0.1281
0.38666666666666666,0.82,-0.2363
0.4,0.82,-0.2671
0.4,0.8333333333333334,-0.3069
0.41333333333333333,0.8333333333333334,-0.338
0.41333333333333333,0.84,-0.3501
0.43333333333333335,0.84,-0.3904
0.43333333333333335,0.8466666666666667,-0.3982
0.44666666666666666,0.8466666666666667,-0.4518
0.44666666666666666,0.8533333333333334,-0.4663
0.4533333333333333,0.8533333333333334,-0.514
0.4533333333333333,0.86,-0.5174
0.46,0.86,-0.5219
0.46,0.8666666666666667,-0.5277
0.47333333333333333,0.8666666666666667,-0.5527
0.47333333333333333,0.88,-0.5904
0.48,0.88,-0.5965
0.48,0.9,-0.6599
0.5066666666666667,0.9,-0.7053
0.5066666666666667,0.9133333333333333,-0.7703
0.5133333333333333,0.9133333333333333,-0.7709
0.5133333333333333,0.92,-0.7791
0.54,0.92,-0.8084
0.54,0.9333333333333333,-0.85
0.62,0.9333333333333333,-1.1424
0.62,0.9466666666666667,-1.1791
0.7066666666666667,0.9466666666666667,-1.3628
0.7066666666666667,0.9533333333333334,-1.4281
0.7333333333333333,0.9533333333333334,-1.5008
0.7333333333333333,0.9666666666666667,-1.5184
0.86,0.9666666666666667,-1.8722
0.86,0.9733333333333334,-1.9649
0.8666666666666667,0.9733333333333334,-2.03
0.8666666666666667,0.98,-2.1455
0.9,0.98,-2.3327
0.9,0.9866666666666667,-2.3397
0.94,0.9866666666666667,-2.5715
0.94,1.0,-2.6352
1.0,1.0,-4.2144
