fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006666666666666667,3.6998
0.0,0.13333333333333333,1.8448
0.006666666666666667,0.13333333333333333,1.8282
0.006666666666666667,0.16,1.6658
0.013333333333333334,0.16,1.65
0.013333333333333334,0.22666666666666666,1.5135
0.02,0.22666666666666666,1.5104
0.02,0.23333333333333334,1.478
0.02666666666666667,0.23333333333333334,1.476
0.02666666666666667,0.28,1.368
0.03333333333333333,0.28,1.3316
0.03333333333333333,0.2866666666666667,1.319
0.04666666666666667,0.2866666666666667,1.2932
0.04666666666666667,0.29333333333333333,1.2841
0.05333333333333334,0.29333333333333333,1.2412
0.05333333333333334,0.32,1.1686
0.06,0.32,1.1569
0.06,0.35333333333333333,1.0498
0.07333333333333333,0.35333333333333333,0.9928
0.07333333333333333,0.36,0.9697
0.08,0.36,0.9647
0.08,0.36666666666666664,0.9644
0.09333333333333334,0.36666666666666664,0.9517
0.09333333333333334,0.38,0.9426
0.1,0.38,0.9363
0.1,0.38666666666666666,0.9208
0.10666666666666667,0.38666666666666666,0.8896
0.10666666666666667,0.4,0.8785
0.10666666666666667,0.42,0.7949
0.11333333333333333,0.42,0.7844
0.11333333333333333,0.44666666666666666,0.7161
0.12666666666666668,0.44666666666666666,0.6935
0.12666666666666668,0.4533333333333333,0.6714
0.13333333333333333,0.4533333333333333,0.6685
0.13333333333333333,0.46,0.6604
0.14,0.46,0.6585
0.14,0.4666666666666667,0.6507
0.15333333333333332,0.4666666666666667,0.6117
0.15333333333333332,0.47333333333333333,0.61
0.17333333333333334,0.47333333333333333,0.5853
0.17333333333333334,0.4866666666666667,0.5551
0.18,0.4866666666666667,0.5484
0.18,0.5,0.5423
0.18666666666666668,0.5,0.5391
0.18666666666666668,0.52,0.5045
0.19333333333333333,0.5266666666666666,0.4926
0.19333333333333333,0.5333333333333333,0.4851
0.2,0.5333333333333333,0.4479
0.2,0.54,0.441
0.21333333333333335,0.54,0.4319
0.21333333333333335,0.5466666666666666,0.4305
0.23333333333333334,0.5466666666666666,0.3902
0.23333333333333334,0.5733333333333334,0.3594
0.24,0.5733333333333334,0.3447
0.24,0.6066666666666667,0.2409
0.25333333333333335,0.6066666666666667,0.2324
0.25333333333333335,0.6133333333333333,0.196
0.26666666666666666,0.6133333333333333,0.1726
0.26666666666666666,0.6266666666666667,0.1439
0.2866666666666667,0.6266666666666667,0.1421
0.2866666666666667,0.6533333333333333,0.1213
0.29333333333333333,0.6533333333333333,0.1176
0.29333333333333333,0.66,0.0921
0.31333333333333335,0.66,0.0346
0.31333333333333335,0.6666666666666666,-0.0001
0.32666666666666666,0.6666666666666666,-0.0131
0.32666666666666666,0.6733333333333333,-0.0159
0.3333333333333333,0.6733333333333333,-0.0405
0.3333333333333333,0.68,-0.0485
0.3466666666666667,0.68,-0.0555
0.3466666666666667,0.6933333333333334,-0.079
0.36,0.6933333333333334,-0.097
0.36,0.7066666666666667,-0.1138
0.37333333333333335,0.7066666666666667,-0.119
0.37333333333333335,0.72,-0.1535
0.38,0.72,-0.1619
0.38,0.7466666666666667,-0.1798
0.43333333333333335,0.7466666666666667,-0.2081
0.43333333333333335,0.76,-0.2478
0.4533333333333333,0.76,-0.2832
0.4533333333333333,0.7666666666666667,-0.2937
0.46,0.7666666666666667,-0.3031
0.46,0.7733333333333333,-0.3057
0.4666666666666667,0.7733333333333333,-0.3232
0.4666666666666667,0.8,-0.3557
0.5,0.8,-0.3863
0.5,0.8066666666666666,-0.4077
0.5066666666666667,0.8066666666666666,-0.4629
0.5066666666666667,0.82,-0.4931
0.52,0.82,-0.5448
0.52,0.8266666666666667,-0.5455
0.54,0.8266666666666667,-0.5689
0.54,0.84,-0.5734
0.5466666666666666,0.84,-0.6154
0.5466666666666666,0.8533333333333334,-0.6275
0.5533333333333333,0.8533333333333334,-0.6304
0.5533333333333333,0.86,-0.6366
0.5733333333333334,0.86,-0.6935
0.5733333333333334,0.8666666666666667,-0.6994
0.6,0.8666666666666667,-0.7745
0.6,0.88,-0.7761
0.6066666666666667,0.88,-0.7814
0.6066666666666667,0.8933333333333333,-0.8092
0.6333333333333333,0.8933333333333333,-0.8615
0.6333333333333333,0.9,-0.869
0.6666666666666666,0.9,-0.9236
0.6666666666666666,0.9133333333333333,-0.9375
0.6733333333333333,0.9133333333333333,-0.9524
0.6733333333333333,0.92,-0.9857
0.7066666666666667,0.92,-1.1067
0.7066666666666667,0.9333333333333333,-1.1148
0.7733333333333333,0.9333333333333333,-1.1737
0.7733333333333333,0.94,-1.2008
0.7866666666666666,0.94,-1.2594
0.7866666666666666,0.9466666666666667,-1.2793
0.8066666666666666,0.9466666666666667,-1.3234
0.8066666666666666,0.9533333333333334,-1.3525
0.82,0.9533333333333334,-1.3565
0.82,0.96,-1.3757
0.8666666666666667,0.96,-1.538
0.8666666666666667,0.9666666666666667,-1.5566
0.9,0.9666666666666667,-1.8068
0.9,0.9733333333333334,-1.8071
0.9066666666666666,0.9733333333333334,-1.8206
0.9066666666666666,0.98,-1.8306
0.9133333333333333,0.98,-1.8587
0.9133333333333333,0.9933333333333333,-1.9802
0.9533333333333334,0.9933333333333333,-2.2338
0.9533333333333334,1.0,-2.2438
1.0,1.0,-4.3841
