fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006666666666666667,2.9827
0.0,0.06666666666666667,2.6235
0.006666666666666667,0.06666666666666667,2.5846
0.006666666666666667,0.1,2.2619
0.013333333333333334,0.1,2.1869
0.013333333333333334,0.21333333333333335,1.6147
0.02,0.21333333333333335,1.5761
0.02,0.26,1.4935
0.02666666666666667,0.26,1.4894
0.02666666666666667,0.2733333333333333,1.4798
0.03333333333333333,0.2733333333333333,1.4734
0.03333333333333333,0.29333333333333333,1.4366
0.04,0.29333333333333333,1.3985
0.04,0.3333333333333333,1.2476
0.04666666666666667,0.3333333333333333,1.2443
0.04666666666666667,0.34,1.241
0.05333333333333334,0.34,1.2178
0.05333333333333334,0.38666666666666666,1.1628
0.06,0.38666666666666666,1.1568
0.06,0.4,1.1514
0.06666666666666667,0.4,1.1242
0.06666666666666667,0.4066666666666667,1.1185
0.07333333333333333,0.4066666666666667,1.1112
0.07333333333333333,0.41333333333333333,1.1055
0.08,0.41333333333333333,1.0612
0.08,0.5,0.9276
0.08666666666666667,0.5,0.8858
0.08666666666666667,0.5133333333333333,0.8618
0.09333333333333334,0.5133333333333333,0.8429
0.09333333333333334,0.52,0.8301
0.10666666666666667,0.52,0.7776
0.10666666666666667,0.5266666666666666,0.7528
0.12,0.5266666666666666,0.7357
0.12,0.5666666666666667,0.6553
0.13333333333333333,0.5666666666666667,0.6203
0.13333333333333333,0.5733333333333334,0.5905
0.14666666666666667,0.5733333333333334,0.5739
0.14666666666666667,0.58,0.5725
0.15333333333333332,0.5866666666666667,0.5684
0.15333333333333332,0.5933333333333334,0.5678
0.16,0.5933333333333334,0.56
0.16,0.6,0.5421
0.17333333333333334,0.6,0.5222
0.17333333333333334,0.6066666666666667,0.4881
0.2,0.6066666666666667,0.3878
0.2,0.6266666666666667,0.3551
0.23333333333333334,0.6266666666666667,0.3207
0.23333333333333334,0.6333333333333333,0.3164
0.24,0.6333333333333333,0.3129
0.24,0.6533333333333333,0.2764
0.26,0.6533333333333333,0.2324
0.26,0.66,0.2284
0.26666666666666666,0.66,0.2187
0.26666666666666666,0.7,0.1913
0.2733333333333333,0.7,0.1875
0.2733333333333333,0.7266666666666667,0.0401
0.2866666666666667,0.7266666666666667,0.0272
0.2866666666666667,0.7333333333333333,0.0254
0.29333333333333333,0.7333333333333333,-0.0041
0.29333333333333333,0.74,-0.0171
0.3,0.74,-0.0221
0.3,0.7466666666666667,-0.0471
0.30666666666666664,0.7466666666666667,-0.0535
0.31333333333333335,0.7533333333333333,-0.0731
0.31333333333333335,0.76,-0.0838
0.32,0.76,-0.1544
0.32,0.7666666666666667,-0.1686
0.36,0.7666666666666667,-0.2823
0.36,0.7733333333333333,-0.2861
0.36666666666666664,0.7733333333333333,-0.3067
0.36666666666666664,0.78,-0.3243
0.4866666666666667,0.78,-0.5161
0.4866666666666667,0.7933333333333333,-0.532
0.49333333333333335,0.7933333333333333,-0.5414
0.49333333333333335,0.8,-0.5464
0.5,0.8,-0.6125
0.5,0.8066666666666666,-0.63
0.5066666666666667,0.8066666666666666,-0.6439
0.5066666666666667,0.8133333333333334,-0.6511
0.5333333333333333,0.8133333333333334,-0.73
0.5333333333333333,0.82,-0.7328
0.5666666666666667,0.82,-0.7766
0.5666666666666667,0.8466666666666667,-0.8215
0.5866666666666667,0.8466666666666667,-0.8777
0.5866666666666667,0.8533333333333334,-0.8864
0.5933333333333334,0.8533333333333334,-0.9137
0.5933333333333334,0.86,-0.9267
0.6466666666666666,0.86,-0.9787
0.6466666666666666,0.88,-1.0202
0.6533333333333333,0.88,-1.0206
0.6533333333333333,0.8866666666666667,-1.0223
0.6666666666666666,0.8866666666666667,-1.0319
0.6666666666666666,0.9066666666666666,-1.0632
0.6933333333333334,0.9066666666666666,-1.2302
0.6933333333333334,0.92,-1.2529
0.7333333333333333,0.92,-1.3165
0.7333333333333333,0.9266666666666666,-1.3379
0.7466666666666667,0.9266666666666666,-1.3905
0.7466666666666667,0.9333333333333333,-1.3933
0.7733333333333333,0.9333333333333333,-1.486
0.7733333333333333,0.94,-1.5145
0.78,0.94,-1.5285
0.78,0.96,-1.5499
0.7866666666666666,0.96,-1.5594
0.7866666666666666,0.9666666666666667,-1.5596
0.8133333333333334,0.9666666666666667,-1.8416
0.8133333333333334,0.9733333333333334,-1.8508
0.8333333333333334,0.9733333333333334,-1.9298
0.8333333333333334,0.98,-1.935
0.8666666666666667,0.98,-2.0549
0.8666666666666667,0.9866666666666667,-2.0873
0.9,0.9866666666666667,-2.4231
0.9,0.9933333333333333,-2.4732
0.9666666666666667,0.9933333333333333,-2.9669
0.9666666666666667,1.0,-3.0855
1.0,1.0,-4.0952
